Provider State,Provider Zip Code,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases
OH,42364258,559.0,6032.0,2806.0,22571.0,0.0,6415.0,760.0,15754.0,434.0,3816.0,82624.0,60135.0,30221.0,57395.0,2171.0,18192.0,0.0,5750.0,2.0,33.0,578.0,72.0,45451.3,7527.200000000003,363676.2000000002,61589.000000000095,16078.90000000001
PA,12060867,411.0,6387.0,2319.0,24000.0,0.0,11937.0,1277.0,30071.0,453.0,5548.0,85290.0,61944.0,13394.0,28910.0,1895.0,16758.0,0.0,11578.0,0.0,32.0,332.0,77.0,25173.50000000002,5157.9,257744.3,60325.40000000002,15806.2
IL,43515324,452.0,8431.0,1655.0,22957.0,0.0,8534.0,513.0,13681.0,255.0,4634.0,85049.0,55592.0,9489.0,20089.0,1063.0,18397.0,0.0,8038.0,3.0,67.0,376.0,42.0,22876.4,4394.000000000001,312676.8999999997,62257.5,16073.700000000004
IN,25025531,249.0,2777.0,1389.0,13532.0,0.0,3625.0,534.0,9260.0,265.0,3126.0,49022.0,31879.0,17730.0,40409.0,962.0,11063.0,0.0,4251.0,1.0,32.0,210.0,11.0,23182.8,4946.4000000000015,220116.9999999999,51584.4,14384.200000000004
TX,93456950,425.0,9276.0,1342.0,31575.0,0.0,7482.0,539.0,16234.0,233.0,5233.0,129747.0,73186.0,22952.0,56052.0,995.0,24486.0,0.0,7452.0,3.0,92.0,317.0,102.0,23587.799999999996,3937.800000000002,514112.60000000003,90014.70000000001,19591.19999999998
NY,7600273,59.0,10275.0,1026.0,17189.0,0.0,7803.0,606.0,20141.0,135.0,5122.0,110087.0,88905.0,10307.0,19631.0,1055.0,19746.0,0.0,4591.0,4.0,63.0,1437.0,164.0,8258.900000000005,1179.5,125609.40000000007,35221.20000000001,19384.600000000017
CA,110293193,274.0,15003.0,951.0,29603.0,0.0,32658.0,241.0,17727.0,75.0,4831.0,114100.0,85336.0,2287.0,3477.0,947.0,24909.0,0.0,14303.0,4.0,104.0,3090.0,315.0,11537.1,1095.5,396599.9999999997,64616.50000000005,22265.899999999994
MO,33477651,181.0,2743.0,884.0,15423.0,0.0,3272.0,419.0,7921.0,184.0,2304.0,52700.0,31727.0,10822.0,26398.0,757.0,11584.0,0.0,4222.0,2.0,42.0,0.0,0.0,14954.39999999999,3523.700000000001,243012.70000000004,37705.69999999999,6847.800000000005
MI,21272012,277.0,4605.0,873.0,8950.0,0.0,3785.0,472.0,15065.0,139.0,2238.0,39338.0,29804.0,7570.0,20924.0,754.0,9668.0,0.0,9683.0,1.0,41.0,244.0,17.0,13761.1,2596.9,130714.3000000001,31871.39999999999,12475.100000000006
KY,11741840,162.0,2169.0,841.0,9019.0,0.0,1886.0,263.0,4755.0,122.0,1365.0,26180.0,19286.0,2765.0,5144.0,703.0,7080.0,0.0,2482.0,0.0,12.0,260.0,4.0,11628.800000000001,1845.4999999999998,126027.30000000003,19116.800000000007,3455.400000000001
