NEW JERSEY LTC FACILITES WITH COVID-19 CASES,,,,,,
"(as of May 27, 2020)",,,,,,
"*Includes facilitiy reported COVID-19 Confirmed cases. Suspect cases are excluded.                                     Cluster, outbreak and case investigations are ongoing; information may be incomplete and subject to change",,,,,,
,,,,,,
,,,,,,
County,Facility Name,Municipality,"Number of COVID
Confirmed Residents","Number of COVID
Confirmed Staff","Number of COVID
Confirmed Deaths among Residents",Number of COVID Confirmed Deaths among Staff
Atlantic,Bacharach Institute for Rehabilitation,Galloway,7,19,0,0
Atlantic,Spring Village Memory Care,Galloway,1,1,0,0
Atlantic,Eastern Pines Nursing and Rehabilitation,Atlantic City,2,3,0,0
Atlantic,Seashore Gardens Living Center,Galloway,2,1,0,0
Atlantic,Spring Village at Galloway,Galloway,5,0,1,0
Atlantic,Villa Raffaella Assisted Living,Pleasantville,15,13,1,0
Atlantic,Royal Suites Healthcare and Rehabilitation Center,Galloway,54,18,4,0
Atlantic,Heritage Assisted Living,Hammonton,27,8,5,0
Atlantic,Somers Place,Egg Harbor Twp,7,2,5,0
Atlantic,Our Lady's Center for Rehabilitation & Healthcare,Pleasantville,11,6,6,0
Atlantic,Complete Care at Linwood,Linwood,46,15,8,0
Atlantic,Egg Harbor Care Center,Egg Harbor Twp,28,7,9,1
Atlantic,The Health Center At Galloway,Galloway,50,21,9,0
Atlantic,Meadowview Nursing and Rehabilitation,Northfield,62,30,14,0
Atlantic,Preferred Care at Abscecon (Abscecon Manor),Absecon,88,51,18,0
Atlantic,Hammonton Center,Hammonton,174,34,36,0
Bergen,Senior Housing--Dogwood Lane,Teaneck,5,0,0,0
Bergen,Fox Trail Memory Care Center-Ramsey,Ramsey,2,1,0,0
Bergen,The Bristal in Englewood,Englewood,12,8,1,0
Bergen,Spectrum for Living Intermediate Care,Closter,26,18,2,0
Bergen,Sunrise of Cresskill,Cresskill,7,11,2,0
Bergen,Sunrise of Old Tappan,Old Tappan,11,8,2,0
Bergen,Fox Trail Memory Care Living-Paramus,Paramus,2,0,2,0
Bergen,Sunrise Assisted Living of Edgewater,Edgewater,12,20,3,0
Bergen,Fox Trail Memory Care Living at Hillsdale East,Hillsdale,2,8,3,0
Bergen,Fox Trail Senior Living at Lake st,Ramsey,0,0,3,0
Bergen,Brightview in Tenafly,Tenafly,10,5,3,0
Bergen,Leonia Retirement Housing,Leonia,3,0,3,0
Bergen,Fox Trail Memory Care at Mahwah,Mahwah,0,4,4,0
Bergen,Brightview Paramus,Paramus,6,5,4,0
Bergen,Alaris Health at the Chateau,Rochelle Park,23,18,5,0
Bergen,Atria Norwood,Norwood,12,7,6,0
Bergen,County Manor Rehabilitation and Healthcare,Tenafly,20,8,7,0
Bergen,Bright Side Manor at Teaneck,Teaneck,29,4,7,0
Bergen,Christian Health Care Center - Southgate,Wyckoff Twp,14,9,7,0
Bergen,Jewish Home Assisted Living River Vale,River Vale,45,33,7,0
Bergen,Brandywine Living at Mahwah,Mahwah,20,12,7,0
Bergen,Inglemoor Center,Englewood,18,11,7,0
Bergen,Brookdale in Emerson,Emerson Boro,26,19,8,0
Bergen,CareOne at Cresskill,Cresskill,39,32,8,0
Bergen,Atrium Senior Living at Park Ridge,Park Ridge,22,7,8,0
Bergen,Christian Health Care Center Longview,Wyckoff Twp,26,6,9,0
Bergen,The Bristal Assisted Living at Woodcliff Lake,Woodcliff Lake,34,11,9,0
Bergen,Sunrise Assisted Living of Paramus,Paramus,28,25,10,0
Bergen,Hackensack Meridian Health --Prospect Heights Care Center,Hackensack,105,23,10,1
Bergen,Bergen County Healthcare Center,Rockleigh,49,31,10,0
Bergen,Sunrise of Woodcliff Lake,Woodcliff Lake,18,13,10,0
Bergen,Five 5 Star Premier Residence of Teaneck,Teaneck,24,2,11,0
Bergen,Actors Fund Home,Englewood,26,25,11,0
Bergen,Ridgewood Center,Village of Ridgewood,60,27,12,0
Bergen,Teaneck Nursing Center,Teaneck,38,12,12,0
Bergen,Armenian Nursing and Rehab,Emerson Boro,23,26,13,0
Bergen,CareOne at The Cupola,Paramus,49,18,14,0
Bergen,Harmony Village At Careone Paramus,Paramus,56,22,14,0
Bergen,Woodcliff Lake Health & Rehabilitation Center,Woodcliff Lake,41,24,14,1
Bergen,Buckingham at Norwood,Norwood,96,62,14,1
Bergen,Sunrise Senior Living at Saddle River Brighton Gardens,Saddle River,27,16,15,0
Bergen,Family of Caring Ridgewood,Village of Ridgewood,41,26,15,0
Bergen,Alaris Health at Rochelle Park,Rochelle Park,80,25,15,0
Bergen,Christian Health Care Center - Heritage Manor West,Wyckoff Twp,33,22,15,0
Bergen,Dellridge Health and rehabilitation,Paramus,77,34,16,0
Bergen,CareOne at Valley,Westwood,47,30,17,0
Bergen,Emerson Health and Rehabilitation Center,Emerson Boro,93,49,19,0
Bergen,Maywood Center,Maywood,74,17,19,0
Bergen,Christian Health Care Center - Heritage Manor East,Wyckoff Twp,38,52,20,1
Bergen,CareOne at New Milford,New Milford,95,17,21,1
Bergen,Jewish Home at Rockleigh,Rockleigh,72,62,21,0
Bergen,Brookdale Paramus,Paramus,64,24,24,0
Bergen,Maple Glen Center (Genesis Health Care),Fair Lawn,74,39,24,0
