Week Ending,Provider State,Residents Total Admissions COVID-19,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases
2020-05-24,AK,1.0,1.0,16.0,17.0,0.0,763.0,686.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,66.7,0.0,0.0
2020-05-24,AL,196.0,1038.0,913.0,1230.0,230.0,25810.0,20364.0,0.0,0.0,685.0,1064.0,3.0,25.0,0.0,14846.5,3781.999999999999,1207.3
2020-05-24,AR,43.0,322.0,507.0,744.0,44.0,22284.0,15269.0,0.0,0.0,184.0,325.0,0.0,0.0,0.0,5137.4,794.5,142.2
2020-05-24,AZ,269.0,289.0,300.0,580.0,80.0,15104.0,9925.0,0.0,0.0,251.0,382.0,1.0,265.0,8.0,5094.999999999999,1234.1,1287.1
2020-05-24,CA,2058.0,5789.0,5347.0,4670.0,1252.0,111630.0,87563.0,0.0,0.0,3750.0,3470.0,19.0,2582.0,431.0,80195.30000000008,18953.699999999997,13502.599999999999
2020-05-24,CO,252.0,846.0,607.0,989.0,331.0,19755.0,14408.0,0.0,0.0,692.0,591.0,3.0,25.0,3.0,12792.8,5357.800000000002,2740.4
2020-05-24,CT,1281.0,5483.0,2182.0,2787.0,1522.0,23670.0,17554.0,0.0,0.0,2256.0,1009.0,9.0,44.0,15.0,61346.4,17246.899999999998,4812.399999999999
2020-05-24,DC,120.0,342.0,238.0,152.0,77.0,2186.0,1689.0,0.0,0.0,193.0,75.0,6.0,8.0,0.0,3311.5,829.1,474.50000000000006
2020-05-24,DE,109.0,574.0,241.0,323.0,173.0,4848.0,3364.0,0.0,0.0,291.0,155.0,1.0,7.0,2.0,6463.499999999999,1995.6000000000001,991.0000000000001
2020-05-24,FL,642.0,1936.0,1296.0,1941.0,480.0,74881.0,59282.0,0.0,0.0,1316.0,1316.0,1.0,140.0,35.0,20207.699999999997,5846.900000000002,5198.3
2020-05-24,GA,655.0,2551.0,1685.0,1443.0,423.0,36402.0,28079.0,0.0,0.0,1190.0,955.0,4.0,118.0,19.0,31418.60000000001,5597.800000000001,5445.8
2020-05-24,GU,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,HI,0.0,1.0,115.0,103.0,0.0,4211.0,3501.0,0.0,0.0,0.0,106.0,0.0,90.0,20.0,5.2,0.0,0.0
2020-05-24,IA,150.0,756.0,781.0,971.0,193.0,28042.0,20787.0,0.0,0.0,473.0,1245.0,9.0,76.0,20.0,14739.200000000003,3666.4999999999995,2044.8
2020-05-24,ID,5.0,57.0,41.0,101.0,13.0,5582.0,3639.0,0.0,0.0,42.0,34.0,0.0,11.0,0.0,1368.2999999999997,288.2,43.7
2020-05-24,IL,2219.0,6365.0,3018.0,3867.0,1576.0,84780.0,55897.0,0.0,0.0,3611.0,2545.0,20.0,385.0,69.0,71591.90000000001,18724.5,11215.099999999999
2020-05-24,IN,487.0,2289.0,945.0,1297.0,654.0,43444.0,29853.0,0.0,0.0,1150.0,795.0,10.0,213.0,9.0,35319.00000000001,10989.400000000001,5007.700000000001
2020-05-24,KS,77.0,210.0,343.0,481.0,53.0,20143.0,15689.0,0.0,0.0,153.0,558.0,0.0,25.0,0.0,3714.1,936.7,198.9
2020-05-24,KY,185.0,783.0,552.0,791.0,188.0,24357.0,19579.0,0.0,0.0,423.0,539.0,3.0,227.0,19.0,11437.100000000002,3048.2000000000003,1172.1
2020-05-24,LA,744.0,2283.0,746.0,1559.0,664.0,32515.0,22529.0,0.0,0.0,1208.0,514.0,11.0,151.0,30.0,28127.49999999999,8404.499999999998,4678.4000000000015
2020-05-24,MA,1877.0,8981.0,2667.0,4317.0,2733.0,42650.0,30299.0,0.0,0.0,4863.0,1278.0,13.0,105.0,8.0,112562.80000000005,35299.899999999994,16116.400000000005
2020-05-24,MD,656.0,2959.0,839.0,1639.0,657.0,25299.0,18789.0,0.0,0.0,1390.0,656.0,5.0,325.0,0.0,30999.499999999996,7169.999999999997,4772.600000000001
2020-05-24,ME,20.0,136.0,222.0,302.0,18.0,6609.0,5462.0,0.0,0.0,111.0,292.0,0.0,7.0,0.0,2504.099999999999,339.70000000000005,72.1
2020-05-24,MI,1560.0,2708.0,1295.0,2350.0,996.0,41398.0,29749.0,0.0,0.0,1945.0,2700.0,23.0,250.0,18.0,36000.90000000001,13459.099999999993,9189.099999999999
2020-05-24,MN,252.0,1121.0,812.0,1311.0,276.0,26089.0,20430.0,2.0,1.0,757.0,1242.0,4.0,52.0,40.0,14292.100000000002,3483.3999999999996,2096.5
2020-05-24,MO,291.0,1059.0,946.0,1308.0,266.0,51077.0,33833.0,0.0,0.0,399.0,757.0,2.0,3.0,0.0,13524.899999999996,3339.5,4186.499999999999
2020-05-24,MS,129.0,873.0,503.0,454.0,204.0,16418.0,13596.0,0.0,0.0,498.0,617.0,7.0,29.0,0.0,18280.8,4213.700000000002,1618.1000000000004
2020-05-24,MT,8.0,5.0,25.0,120.0,2.0,5669.0,3594.0,0.0,0.0,6.0,69.0,0.0,4.0,0.0,238.1,95.2,40.0
2020-05-24,NC,251.0,1199.0,822.0,1423.0,274.0,44003.0,32805.0,0.0,0.0,633.0,637.0,2.0,91.0,0.0,14923.999999999996,4004.4999999999995,3959.399999999999
2020-05-24,ND,12.0,106.0,59.0,386.0,28.0,5717.0,4761.0,0.0,0.0,178.0,433.0,0.0,0.0,0.0,1148.1999999999998,297.2,372.0
2020-05-24,NE,56.0,283.0,245.0,495.0,67.0,14036.0,9982.0,0.0,0.0,189.0,605.0,0.0,30.0,0.0,4913.1,1165.9999999999998,420.7
2020-05-24,NH,64.0,523.0,361.0,485.0,119.0,7258.0,5851.0,0.0,0.0,251.0,387.0,0.0,15.0,0.0,6476.799999999998,1696.6,448.40000000000003
