STATE,OWNERSHIP,BEDCERT,RESTOT,INCIDENT_CNT,CMPLNT_CNT,FINE_CNT,FINE_TOT,PAYDEN_CNT,TOT_PENLTY_CNT
AK,For profit - Corporation,169,154.2,2,6,1,10205,0,1
AK,For profit - Limited Liability company,67,11.1,0,0,0,0,0,0
AK,Government - City,60,48.7,5,2,1,34795,0,1
AK,Government - City/county,43,32.2,4,1,0,0,0,0
AK,Government - Federal,18,15.4,0,0,0,0,0,0
AK,Non profit - Church related,175,158.10000000000002,7,4,1,37226,0,1
AK,Non profit - Corporation,295,262.6,6,5,6,73104,0,6
AL,For profit - Corporation,18988,15024.999999999995,20,80,32,1482327,5,37
AL,For profit - Individual,1161,841.4999999999999,0,6,2,29611,0,2
AL,For profit - Limited Liability company,983,695.1999999999999,0,12,0,0,0,0
AL,For profit - Partnership,1406,1100.1999999999998,3,13,3,288630,0,3
AL,Government - City,249,209.2,1,0,0,0,0,0
AL,Government - County,1039,843.3999999999999,2,0,0,0,0,0
AL,Non profit - Church related,307,254.9,1,1,1,13905,0,1
AL,Non profit - Corporation,1972,1587.1,5,8,3,476072,2,5
AL,Non profit - Other,574,413.6,1,3,1,32439,0,1
AR,For profit - Corporation,7672,5122.800000000002,15,176,23,308871,4,27
AR,For profit - Limited Liability company,11276,7430.499999999998,39,397,64,1667858,19,83
AR,Government - City,70,50.3,0,3,1,13780,1,2
AR,Government - County,686,537.9,5,12,3,197616,0,3
AR,Government - State,476,392.9,6,14,3,83198,0,3
AR,Non profit - Corporation,4285,2793.7000000000003,12,167,19,371685,7,26
AZ,For profit - Corporation,9051,5912.999999999998,133,104,16,153422,0,16
AZ,For profit - Individual,36,24.7,1,0,0,0,0,0
AZ,For profit - Limited Liability company,3568,2206.7000000000003,50,39,5,156816,0,5
AZ,For profit - Partnership,1074,711.5999999999999,18,8,1,13266,0,1
AZ,Government - Federal,160,119.4,25,0,0,0,1,1
AZ,Government - State,320,246.7,3,0,0,0,0,0
AZ,Non profit - Church related,58,44.5,2,0,0,0,0,0
AZ,Non profit - Corporation,1721,1057.0,41,20,1,8775,1,2
AZ,Non profit - Other,152,101.3,3,5,1,6500,0,1
CA,For profit - Corporation,65474,51867.599999999955,2314,4040,125,2922334,26,151
CA,For profit - Individual,8730,7067.499999999999,289,669,18,328248,5,23
CA,For profit - Limited Liability company,18970,15152.499999999995,810,1455,38,974420,13,51
CA,For profit - Partnership,8100,6278.5,269,502,16,230350,2,18
CA,Government - City,8,6.0,0,0,0,0,0,0
CA,Government - City/county,799,755.8,58,3,2,740295,2,4
CA,Government - County,670,599.1,13,16,2,18376,0,2
CA,Government - Federal,119,75.9,3,3,0,0,0,0
CA,Government - Hospital district,1019,785.2000000000002,91,26,6,172515,2,8
CA,Government - State,1231,857.6,14,3,1,11000,0,1
CA,Non profit - Church related,1207,877.1000000000001,35,14,3,147324,1,4
CA,Non profit - Corporation,9281,6886.0,181,219,14,219841,3,17
CA,Non profit - Other,1929,1284.2,58,109,2,25766,0,2
CO,For profit - Corporation,14445,10353.899999999998,11,807,44,1961761,8,52
CO,For profit - Individual,1037,743.7,0,62,5,271763,2,7
CO,For profit - Limited Liability company,700,475.4,0,15,1,7963,0,1
CO,For profit - Partnership,1099,849.0,2,106,1,9295,0,1
CO,Government - City/county,59,46.4,0,0,0,0,0,0
CO,Government - County,260,202.2,0,2,0,0,0,0
CO,Government - Hospital district,345,246.2,0,10,0,0,0,0
CO,Government - State,434,327.3,3,13,0,0,1,1
CO,Non profit - Church related,359,327.5,0,3,0,0,1,1
CO,Non profit - Corporation,1930,1366.7,6,67,11,355184,1,12
CT,For profit - Corporation,14692,10417.200000000003,189,252,95,1109889,2,97
CT,For profit - Individual,1218,843.1,7,26,3,30720,0,3
CT,For profit - Limited Liability company,3711,2785.499999999999,63,73,21,323391,2,23
CT,For profit - Partnership,1722,1233.7,32,50,18,177262,0,18
CT,Government - City,202,142.8,3,0,1,7296,0,1
CT,Government - State,125,19.0,0,0,0,0,0,0
CT,Non profit - Church related,533,382.29999999999995,0,6,1,8775,0,1
CT,Non profit - Corporation,3038,2342.3,27,23,14,137995,2,16
CT,Non profit - Other,183,140.0,2,1,0,0,0,0
DC,For profit - Corporation,926,791.5,1,9,3,40693,0,3
DC,For profit - Limited Liability company,590,512.7,3,3,0,0,0,0
DC,Non profit - Corporation,1074,704.2,6,12,2,171135,1,3
DE,For profit - Corporation,2321,1725.5000000000002,60,109,10,184795,1,11
DE,For profit - Individual,336,261.9,4,16,3,86723,1,4
DE,For profit - Limited Liability company,125,55.7,2,18,0,0,0,0
DE,For profit - Partnership,308,226.6,18,10,5,135887,1,6
DE,Government - State,355,166.9,5,4,0,0,0,0
DE,Non profit - Corporation,1067,766.9,29,21,5,497188,2,7
DE,Non profit - Other,330,232.4,6,13,1,41662,0,1
FL,For profit - Corporation,46003,36215.400000000016,147,984,204,7678623,23,227
FL,For profit - Individual,3330,2663.0000000000005,18,114,15,582615,3,18
FL,For profit - Limited Liability company,8594,6814.199999999999,24,192,33,1232017,1,34
FL,For profit - Partnership,1843,1455.5,2,12,1,11180,0,1
FL,Government - City,180,164.3,2,1,0,0,0,0
FL,Government - City/county,60,46.0,0,0,0,0,0,0
FL,Government - County,463,448.6,0,3,1,10834,0,1
FL,Government - Hospital district,333,234.10000000000002,0,0,0,0,0,0
FL,Government - State,720,613.7,2,5,1,15515,0,1
FL,Non profit - Church related,981,802.5000000000001,3,3,5,152986,0,5
FL,Non profit - Corporation,16675,12999.400000000001,40,231,43,1419891,3,46
FL,Non profit - Other,5193,4332.400000000001,7,117,23,827068,4,27
GA,For profit - Corporation,20730,15986.399999999994,1,332,50,2784610,8,58
GA,For profit - Individual,1596,1270.8999999999999,0,27,2,27568,0,2
GA,For profit - Limited Liability company,2262,1608.6000000000001,0,39,9,181383,1,10
GA,For profit - Partnership,1864,1489.6,0,34,6,1642258,2,8
GA,Government - City/county,470,303.4,0,5,1,8099,0,1
GA,Government - County,327,272.3,0,2,0,0,0,0
GA,Government - Hospital district,356,330.0,0,2,1,17835,1,2
GA,Government - State,122,43.900000000000006,0,0,0,0,0,0
GA,Non profit - Church related,659,467.5,0,0,1,13000,0,1
GA,Non profit - Corporation,5121,3994.5000000000005,0,23,9,730810,1,10
GA,Non profit - Other,6015,4486.5999999999985,0,50,9,840542,1,10
GU,Government - State,42,6.7,0,0,0,0,0,0
HI,For profit - Corporation,2145,1730.6000000000001,15,18,11,214643,3,14
HI,For profit - Individual,53,37.5,0,2,0,0,0,0
HI,For profit - Limited Liability company,344,259.5,1,13,4,200483,2,6
HI,For profit - Partnership,272,223.89999999999998,0,2,1,12938,0,1
HI,Government - State,500,350.7,0,1,3,60837,1,4
HI,Non profit - Corporation,868,721.8000000000001,1,0,4,41954,0,4
HI,Non profit - Other,107,94.2,0,1,0,0,0,0
IA,For profit - Corporation,13132,9106.199999999995,168,665,67,1427627,15,82
IA,For profit - Individual,707,472.7,11,45,8,217647,5,13
IA,For profit - Limited Liability company,742,570.4999999999999,5,53,4,63266,1,5
IA,For profit - Partnership,857,609.8,19,32,2,34001,1,3
IA,Government - City,197,167.8,0,0,0,0,1,1
IA,Government - County,387,274.6,3,6,0,0,0,0
IA,Government - Hospital district,49,34.7,1,1,0,0,0,0
IA,Government - State,702,400.4,0,6,0,0,0,0
IA,Non profit - Church related,1685,1351.9,18,28,8,77990,1,9
IA,Non profit - Corporation,10179,7720.399999999996,111,228,26,335000,9,35
IA,Non profit - Other,1151,836.1999999999999,18,43,7,245890,1,8
ID,For profit - Corporation,3626,2116.9,3,161,27,679576,4,31
ID,For profit - Individual,109,90.5,0,1,0,0,0,0
ID,For profit - Limited Liability company,1181,777.7,0,71,6,120991,1,7
ID,For profit - Partnership,116,83.6,0,12,2,129800,0,2
ID,Government - County,208,158.8,0,0,2,37388,0,2
ID,Government - Hospital district,20,15.2,0,0,0,0,1,1
ID,Government - State,283,221.4,0,6,3,87335,0,3
ID,Non profit - Church related,163,72.1,0,0,2,18500,0,2
ID,Non profit - Corporation,488,315.40000000000003,1,3,3,42572,0,3
IL,For profit - Corporation,43951,28725.799999999967,194,3284,125,2989102,35,160
IL,For profit - Individual,9663,6383.7,38,827,34,1104016,8,42
IL,For profit - Limited Liability company,8934,5646.499999999999,37,880,20,327182,10,30
IL,For profit - Partnership,8326,5830.300000000001,28,667,22,407715,5,27
IL,Government - City/county,320,162.7,1,9,0,0,0,0
