,Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Submitted Data,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Resident Access to Testing in Facility,Laboratory Type Is State Health Dept,Laboratory Type Is Private Lab,Laboratory Type Is Other,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,Reason for Not Testing Residents - Lack of PPE for Personnel ,Reason for Not Testing Residents - Lack of Supplies,Reason for Not Testing Residents  - Lack of Access to Laboratory,Reason for Not Testing Residents - Lack of Access to Trained Personnel ,Reason for Not Testing Residents  - Uncertainty About Reimbursement,Reason for Not Testing Residents  - Other,During Past Two Weeks Average Time to Receive Resident Test Results,Has Facility Performed Resident Tests Since Last Report,Tested Residents with New Signs or Symptoms,Tested Asymptomatic Residents in a Unit or Section After a New Case,Tested Asymptomatic Residents Facility-Wide After a New Case,Tested Asymptomatic Residents Without Known Exposure as Surveillance,Tested Another Subgroup of Residents,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,Reason for Not Testing Staff and/or Personnel - Lack of PPE for Personnel ,Reason for Not Testing Staff and/or Personnel - Lack of Supplies,Reason for Not Testing Staff and/or Personnel - Lack of Access to Laboratory,Reason for Not Testing Staff and/or Personnel  - Lack of Access to Trained Personnel ,Reason for Not Testing Staff and/or Personnel - Uncertainty About Reimbursement,Reason for Not Testing Staff and/or Personnel - Other,During Past Two Weeks Average Time to Receive Staff and/or Personnel Test Results,Has Facility Performed Staff and/or Personnel Tests Since Last Report,Tested Staff and/or Personnel with New Signs or Symptoms,Tested Asymptomatic Staff and/or Personnel in a Unit or Section After a New Case,Tested Asymptomatic Staff and/or Personnel Facility-Wide After a New Case,Tested Asymptomatic Staff and/or Personnel Without Known Exposure as Surveillance,Tested Another Subgroup of Staff and/or Personnel,In-House Point-of-Care Test Machine,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Enough Supplies to Test All Staff and/or Personnel Using Point-of-Care Test Machine,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,County,Three or More Confirmed COVID-19 Cases This Week,Initial Confirmed COVID-19 Case This Week,Geolocation,Reporting Interval
181771,2020-12-13,235249,ST FRANCIS HOME,915 N RIVER RD,SAGINAW,MI,48609,Y,Y,0.0,0.0,0.0,3.0,,22.0,0.0,16.0,0.0,0.0,94.0,67.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,4.0,,2.0,10.0,0.0,9.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,44.8,0.0,0.0,Saginaw,N,N,POINT (-84.052128 43.422068),Week 30 - Dec 13
181780,2020-12-13,235351,SKLD PLYMOUTH,105 HAGGERTY RD,PLYMOUTH,MI,48170,Y,Y,0.0,53.0,0.0,10.0,,0.0,0.0,23.0,0.0,7.0,82.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,0.0,0.0,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,142.9,100.0,70.0,Wayne,,,,Week 30 - Dec 13
181913,2020-12-13,235123,"DURAND SENIOR CARE AND REHAB CENTER, L L C",8750 E MONROE RD,DURAND,MI,48429,Y,Y,0.0,27.0,0.0,11.0,,13.0,0.0,29.0,0.0,14.0,141.0,93.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,45.0,0.0,15.0,0.0,0.0,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,118.3,150.5,127.3,Shiawassee,N,N,,Week 30 - Dec 13
182026,2020-12-13,235174,MARSHALL NURSING AND REHABILITATION COMMUNITY,575 N MADISON ST,MARSHALL,MI,49068,Y,Y,0.0,0.0,0.0,1.0,,0.0,0.0,10.0,0.0,0.0,60.0,56.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,57.0,0.0,,1.0,5.0,0.0,0.0,0.0,0.0,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,17.9,0.0,0.0,Calhoun,N,N,POINT (-84.957937 42.281708),Week 30 - Dec 13
182183,2020-12-13,235037,ISABELLA CO MEDICAL CARE FACIL,1222 NORTH DR,MOUNT PLEASANT,MI,48858,Y,Y,0.0,0.0,0.0,2.0,,0.0,3.0,31.0,0.0,4.0,100.0,73.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,1.0,,1.0,20.0,0.0,0.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,27.4,54.8,200.0,Isabella,N,N,POINT (-84.761808 43.600411),Week 30 - Dec 13
182257,2020-12-13,235176,REGENCY AT FREMONT,4554 W 48TH ST,FREMONT,MI,49412,Y,Y,0.0,0.0,22.0,38.0,,0.0,0.0,22.0,0.0,1.0,,68.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,13.0,25.0,0.0,3.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,323.5,0.0,558.8,14.7,2.6,Newaygo,Y,N,POINT (-85.913813 43.467028),Week 30 - Dec 13
182285,2020-12-13,235347,SKLD ZEELAND,285 N STATE ST,ZEELAND,MI,49464,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ottawa,,,POINT (-86.019102 42.816942),Week 30 - Dec 13
182458,2020-12-13,235025,MEADOW BROOK MEDICAL CARE FACILITY,4543 SOUTH M-88 HIGHWAY,BELLAIRE,MI,49615,Y,Y,0.0,0.0,0.0,1.0,,1.0,0.0,45.0,0.0,0.0,133.0,101.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,4.0,14.0,,2.0,34.0,0.0,2.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,,,,,0.0,0.0,9.9,0.0,0.0,Antrim,N,N,POINT (-85.198506 44.967736),Week 30 - Dec 13
182472,2020-12-13,235363,HERITAGE MANOR HEALTHCARE CENT,G 3201 BEECHER RD,FLINT,MI,48532,Y,Y,0.0,0.0,0.0,48.0,,0.0,0.0,16.0,0.0,13.0,167.0,107.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,15.0,24.0,,1.0,34.0,0.0,0.0,0.0,1.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,448.6,121.5,27.1,Genesee,N,N,,Week 30 - Dec 13
182478,2020-12-13,235254,VISTA GRANDE VILLA,2251 SPRINGPORT RD,JACKSON,MI,49202,Y,Y,0.0,0.0,1.0,5.0,,2.0,0.0,31.0,0.0,0.0,60.0,16.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,3.0,3.0,,5.0,28.0,0.0,8.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,62.5,0.0,312.5,0.0,0.0,Jackson,N,N,POINT (-84.443342 42.276525),Week 30 - Dec 13
