Facility Name,Facility Name Normalized,VLOOKUP,Date Collected,State,County,City,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives.1,Resident Probable Positives.1,Resident Deaths.1,Resident Probable Deaths.1,Staff Positive.1,Staff Probable Positives.1,Staff Deaths.1,Staff Probable Deaths.1,Resident/Staff Positives.1,Resident/Staff Probable Positives.1,Resident/Staff Deaths.1,Resident/Staff Probable Deaths.1,Residents Tested,Staff Tested,Personal Protective Equipment,VLOOKUP2,Change Score
Jamieson Nursing Home,JAMIESON NURSING HOME,JAMIESON NURSING HOME,20201112,MI,ALCONA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAMIESON NURSING HOME,100
Jamieson Nursing Home,JAMIESON NURSING HOME,JAMIESON NURSING HOME,20201112,MI,ALCONA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAMIESON NURSING HOME,100
Lincoln Haven Nursing & Rehab. Community,LINCOLN HAVEN NURSING AND REHABILITATION COMMUNITY,LINCOLN HAVEN NURSING AND REHABILITATION COMMUNITY,20201112,MI,ALCONA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN HAVEN NURSING AND REHABILITATION COMMUNITY,100
Lincoln Haven Nursing & Rehab. Community,LINCOLN HAVEN NURSING AND REHABILITATION COMMUNITY,LINCOLN HAVEN NURSING AND REHABILITATION COMMUNITY,20201112,MI,ALCONA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINCOLN HAVEN NURSING AND REHABILITATION COMMUNITY,100
Medilodge of Munising,MEDILODGE OF MUNISING,MEDILODGE OF MUNISING,20201112,MI,ALGER,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF MUNISING,100
Medilodge of Munising,MEDILODGE OF MUNISING,MEDILODGE OF MUNISING,20201112,MI,ALGER,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF MUNISING,100
Allegan County Medical Care Community,ALLEGAN COUNTY MEDICAL CARE COMMUNITY,ALLEGAN COUNTY MEDICAL CARE COMMUNITY,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLEGAN COUNTY MEDICAL CARE COMMUNITY,100
Allegan County Medical Care Community,ALLEGAN COUNTY MEDICAL CARE COMMUNITY,ALLEGAN COUNTY MEDICAL CARE COMMUNITY,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLEGAN COUNTY MEDICAL CARE COMMUNITY,100
Beacon Home at The Oaks,BEACON HOME AT THE OAKS,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLEGAN COUNTY MEDICAL CARE COMMUNITY,43
Beacon Home at The Oaks,BEACON HOME AT THE OAKS,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLEGAN COUNTY MEDICAL CARE COMMUNITY,43
