ReportingDate,Provider Name,County,TYPE,NEW RESIDENT CASES,TOTAL RESIDENT CASES,NEW RESIDENT DEATHS,TOTAL RESIDENT DEATHS,NEW STAFF CASES,TOTAL STAFF CASES,NEW STAFF DEATHS,TOTAL STAFF DEATHS,Reporting,VLOOKUP,Change Score
2020-11-09,JAMIESON NURSING HOME,ALCONA,SNF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,JAMIESON NURSING HOME,100
2020-11-09,LINCOLN HAVEN NURSING & REHAB. COMMUNITY,ALCONA,SNF,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Yes,LINCOLN HAVEN NURSING & REHAB COMMUNITY,99
2020-11-09,MEDILODGE OF MUNISING,ALGER,SNF,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes,MEDILODGE OF MUNISING,100
2020-11-09,ALLEGAN COUNTY MEDICAL CARE COMMUNITY,ALLEGAN,SNF,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Yes,ALLEGAN COUNTY MEDICAL CARE FA,90
2020-11-09,BEACON HOME AT THE OAKS,ALLEGAN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,ALLEGAN COUNTY MEDICAL CARE FA,49
2020-11-09,BRIARWOOD ASSISTED LIVING,ALLEGAN,HFA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes,ELY MANOR,38
2020-11-09,COUNTRY LIV - INN INC,ALLEGAN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,LIFE CARE CENTER OF PLAINWELL,40
2020-11-09,ELY MANOR NURSING & REHAB,ALLEGAN,SNF,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,Yes,ELY MANOR,90
2020-11-09,GOLDEN ORCHARDS I,ALLEGAN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,ELY MANOR,40
2020-11-09,GOLDEN ORCHARDS II,ALLEGAN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,ELY MANOR,40
2020-11-09,GRACE OF DOUGLAS,ALLEGAN,SNF,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Yes,GRACE OF DOUGLAS,100
2020-11-09,GREEN ACRES OF WAYLAND,ALLEGAN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,GRACE OF DOUGLAS,58
2020-11-09,GREEN ACRES OF WAYLAND II,ALLEGAN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,GRACE OF DOUGLAS,86
2020-11-09,HARBORS HEALTH FACILITY,ALLEGAN,HFA,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,Yes,ELY MANOR,48
2020-11-09,LAKESIDE VISTA AMSTERDAM HAUS,ALLEGAN,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,ALLEGAN COUNTY MEDICAL CARE FA,39
2020-11-09,LAKESIDE VISTA DELPH HAUS,ALLEGAN,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,LAURELS OF SANDY CREEK (THE),42
2020-11-09,LAKESIDE VISTA FRIESLAND HAUS,ALLEGAN,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,LAURELS OF SANDY CREEK (THE),43
2020-11-09,LAKESIDE VISTA ROTTERDAM HAUS,ALLEGAN,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,LAURELS OF SANDY CREEK (THE),43
2020-11-09,LAKESIDE VISTA ZEELAND HAUS,ALLEGAN,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,LAURELS OF SANDY CREEK (THE),44
2020-11-09,LAURELS OF SANDY CREEK,ALLEGAN,SNF,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,Yes,LAURELS OF SANDY CREEK (THE),95
2020-11-09,LIFE CARE CENTER OF PLAINWELL,ALLEGAN,SNF,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Yes,LIFE CARE CENTER OF PLAINWELL,100
2020-11-09,MAPLEWOOD OF SANDY CREEK,ALLEGAN,AFC,,0.0,,0.0,,1.0,,0.0,Yes,GRACE OF DOUGLAS,86
2020-11-09,RESTHAVEN CARE CENTER,ALLEGAN,SNF,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,Yes,RESTHAVEN CARE CENTER,100
2020-11-09,SERENITY HOMES EAST,ALLEGAN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,ALLEGAN COUNTY MEDICAL CARE FA,42
2020-11-09,SERENITY HOMES WEST,ALLEGAN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,RESTHAVEN CARE CENTER,43
2020-11-09,STANFORD LODGE,ALLEGAN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,ELY MANOR,57
2020-11-09,VICINIA GARDENS OF OTSEGO,ALLEGAN,HFA,,0.0,,0.0,,1.0,,0.0,Yes,GRACE OF DOUGLAS,86
2020-11-09,WILLIAM CRISPE COMMUNITY HOUSE,ALLEGAN,HFA,,0.0,,0.0,,0.0,,0.0,Yes,LIFE CARE CENTER OF PLAINWELL,44
2020-11-09,BESSER SENIOR LIVING COMMUNITY,ALPENA,HFA,,0.0,,0.0,,0.0,,0.0,Yes,MEDILODGE OF ALPENA,33
2020-11-09,MEDILODGE ALPENA,ALPENA,SNF,0.0,61.0,0.0,9.0,0.0,31.0,0.0,0.0,Yes,MEDILODGE OF ALPENA,95
2020-11-09,MEDILODGE OF GREENVIEW,ALPENA,SNF,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Yes,MEDILODGE OF GREEN VIEW,98
2020-11-09,SALLY'S CARE HOME I,ALPENA,AFC,,0.0,,0.0,,0.0,,0.0,Yes,MEDILODGE OF GREEN VIEW,38
2020-11-09,TURNING BROOK,ALPENA,AFC,,0.0,,0.0,,0.0,,0.0,Yes,MEDILODGE OF GREEN VIEW,28
2020-11-09,TURNING BROOK II,ALPENA,AFC,,0.0,,0.0,,0.0,,0.0,Yes,MEDILODGE OF GREEN VIEW,31
2020-11-09,TURNING BROOK III,ALPENA,AFC,,0.0,,0.0,,0.0,,0.0,Yes,MEDILODGE OF GREEN VIEW,30
2020-11-09,EASTPORT VILLAGE CARE HOME,ANTRIM,AFC,,0.0,,0.0,,0.0,,0.0,Yes,MEADOW BROOK MEDICAL CARE FACILITY,43
2020-11-09,MEADOW BROOK MCF,ANTRIM,SNF,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,Yes,MEADOW BROOK MEDICAL CARE FACILITY,86
2020-11-09,ASCENSION STANDISH HOSPITAL & SNF,ARENAC,SNF,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,Yes,ASCENSION STANDISH HOSPITAL & SKILLED NURSING FAC,88
2020-11-09,AUGRES CARE CENTER,ARENAC,AFC,,0.0,,0.0,,0.0,,0.0,Yes,MEDILODGE OF STERLING,36
2020-11-09,EDEN FIELDS ASSISTED LIVING,ARENAC,AFC,,0.0,,0.0,,0.0,,0.0,Yes,MEDILODGE OF STERLING,54
2020-11-09,EDEN FIELDS  MEMORY CARE,ARENAC,AFC,,0.0,,0.0,,0.0,,0.0,Yes,MEDILODGE OF STERLING,40
2020-11-09,MEDILODGE OF STERLING,ARENAC,SNF,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes,MEDILODGE OF STERLING,100
2020-11-09,THE HORIZON SENIOR LIVING IV,ARENAC,AFC,,0.0,,0.0,,0.0,,0.0,Yes,MEDILODGE OF STERLING,45
2020-11-09,BAYSIDE VILLAGE,BARAGA,SNF,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,Yes,BAYSIDE VILLAGE,100
2020-11-09,AC FLOWER HOUSE LLC,BARRY,AFC,,0.0,,0.0,,0.0,,0.0,Yes,THORNAPPLE MANOR,38
2020-11-09,CARVETH VILLAGE OF MIDDLEVILLE,BARRY,HFA,,0.0,,0.0,,0.0,,0.0,Yes,HASTINGS REHABILITATION AND HEALTHCARE CENTER,36
2020-11-09,HASTINGS REHAB AND HEALTHCARE CENTER,BARRY,SNF,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,Yes,HASTINGS REHABILITATION AND HEALTHCARE CENTER,89
2020-11-09,STONERIDGE AFC,BARRY,AFC,,0.0,,0.0,,0.0,,0.0,Yes,THORNAPPLE MANOR,40
2020-11-09,THORNAPPLE MANOR,BARRY,SNF,0.0,9.0,0.0,1.0,4.0,22.0,0.0,0.0,Yes,THORNAPPLE MANOR,100
2020-11-09,WOODLAWN MEADOWS SPECIALIZED CARE,BARRY,AFC,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Yes,THORNAPPLE MANOR,37
