County,Resident Cumulative Confirmed Cases,Resident Cumulative COVID-19 Deaths,Staff Cumulative Confirmed Cases,Staff Cumulative COVID-19 Deaths
WAYNE,2910.0,748.0,1121.0,10.0
MACOMB,1307.0,376.0,571.0,4.0
OAKLAND,1184.0,315.0,559.0,2.0
GENESEE,309.0,104.0,238.0,1.0
KENT,214.0,69.0,130.0,0.0
BERRIEN,162.0,45.0,112.0,0.0
SAGINAW,153.0,59.0,100.0,1.0
LIVINGSTON,150.0,27.0,37.0,0.0
WASHTENAW,138.0,58.0,78.0,1.0
SAINT CLAIR,123.0,26.0,30.0,0.0
CALHOUN,80.0,19.0,61.0,0.0
SHIAWASSEE,75.0,14.0,53.0,0.0
KALAMAZOO,69.0,24.0,36.0,0.0
INGHAM,69.0,8.0,37.0,0.0
MUSKEGON,66.0,14.0,52.0,1.0
ALPENA,61.0,9.0,31.0,0.0
TUSCOLA,57.0,20.0,20.0,0.0
BAY,53.0,12.0,54.0,0.0
LAPEER,52.0,21.0,20.0,0.0
HILLSDALE,51.0,20.0,47.0,0.0
GRATIOT,36.0,11.0,22.0,0.0
OTSEGO,33.0,7.0,23.0,0.0
CRAWFORD,32.0,4.0,44.0,0.0
OTTAWA,31.0,6.0,36.0,0.0
MARQUETTE,28.0,8.0,13.0,0.0
IOSCO,27.0,5.0,27.0,0.0
ISABELLA,26.0,5.0,13.0,0.0
MONTCALM,25.0,3.0,4.0,0.0
CASS,14.0,2.0,15.0,0.0
SAINT JOSEPH,10.0,0.0,7.0,0.0
LENAWEE,9.0,3.0,10.0,0.0
NEWAYGO,8.0,0.0,7.0,0.0
GOGEBIC,6.0,0.0,13.0,0.0
EATON,5.0,2.0,10.0,0.0
MONROE,4.0,0.0,11.0,0.0
HURON,4.0,0.0,4.0,0.0
MIDLAND,4.0,0.0,5.0,0.0
JACKSON,4.0,1.0,15.0,0.0
GRAND TRAVERSE,3.0,0.0,8.0,0.0
ARENAC,3.0,0.0,3.0,0.0
ALLEGAN,2.0,0.0,6.0,0.0
OCEANA,2.0,0.0,12.0,1.0
WEXFORD,2.0,0.0,1.0,0.0
GLADWIN,2.0,0.0,1.0,0.0
MONTMORENCY,1.0,0.0,0.0,0.0
CLARE,1.0,0.0,2.0,0.0
MASON,1.0,0.0,1.0,0.0
CLINTON,1.0,0.0,5.0,0.0
DELTA,1.0,0.0,2.0,0.0
PRESQUE ISLE,1.0,0.0,1.0,0.0
SANILAC,0.0,0.0,2.0,0.0
SCHOOLCRAFT,0.0,0.0,0.0,0.0
ONTONAGON,0.0,2.0,0.0,0.0
OGEMAW,0.0,0.0,0.0,0.0
OSCODA,0.0,0.0,0.0,0.0
VAN BUREN,0.0,0.0,9.0,0.0
ROSCOMMON,0.0,0.0,0.0,0.0
OSCEOLA,0.0,0.0,0.0,0.0
ALCONA,0.0,0.0,1.0,0.0
MISSAUKEE,0.0,0.0,0.0,0.0
EMMET,0.0,0.0,0.0,0.0
ANTRIM,0.0,0.0,0.0,0.0
BARAGA,0.0,0.0,3.0,0.0
BARRY,0.0,0.0,0.0,0.0
BENZIE,0.0,0.0,1.0,0.0
BRANCH,0.0,0.0,2.0,0.0
CHARLEVOIX,0.0,0.0,9.0,0.0
CHEBOYGAN,0.0,0.0,0.0,0.0
CHIPPEWA,0.0,0.0,0.0,0.0
DICKINSON,0.0,0.0,3.0,0.0
HOUGHTON,0.0,0.0,5.0,0.0
MENOMINEE,0.0,0.0,0.0,0.0
IONIA,0.0,0.0,2.0,0.0
IRON,0.0,0.0,1.0,0.0
KALKASKA,0.0,0.0,0.0,0.0
ALGER,0.0,0.0,0.0,0.0
LEELANAU,0.0,0.0,4.0,0.0
LUCE,0.0,0.0,0.0,0.0
MACKINAC,0.0,0.0,0.0,0.0
MANISTEE,0.0,0.0,0.0,0.0
MECOSTA,0.0,0.0,0.0,0.0
LAKE,0.0,0.0,2.0,0.0
