County,Resident Cumulative Confirmed Cases,Resident Cumulative COVID-19 Deaths,Staff Cumulative Confirmed Cases,Staff Cumulative COVID-19 Deaths
WAYNE,3060,753,1235,10
OAKLAND,1458,344,641,2
MACOMB,1285,383,605,5
GENESEE,356,106,251,1
KENT,244,75,168,0
SAGINAW,175,61,153,1
BERRIEN,169,46,121,0
WASHTENAW,139,58,100,0
SAINT CLAIR,127,26,37,0
LIVINGSTON,111,17,32,0
MUSKEGON,100,17,80,1
INGHAM,90,12,86,0
CALHOUN,83,19,64,0
KALAMAZOO,75,25,57,0
SHIAWASSEE,75,14,55,0
ALPENA,61,9,31,0
TUSCOLA,57,20,27,0
BAY,54,12,64,0
LAPEER,52,21,26,0
HILLSDALE,51,20,51,0
CASS,40,10,30,0
CRAWFORD,36,4,47,0
GRATIOT,36,11,26,0
OTTAWA,34,6,46,0
OTSEGO,33,7,23,0
MARQUETTE,28,8,17,0
IOSCO,27,5,27,0
ISABELLA,27,5,17,0
MONTCALM,25,3,8,0
LENAWEE,22,4,14,0
SAINT JOSEPH,12,2,16,0
EATON,11,2,21,0
MONROE,11,0,26,0
NEWAYGO,9,0,7,0
GRAND TRAVERSE,6,0,11,0
GOGEBIC,6,0,18,0
HURON,5,0,7,0
VAN BUREN,5,0,19,0
JACKSON,4,1,21,0
MENOMINEE,4,0,2,0
DICKINSON,4,0,3,0
MIDLAND,4,1,8,0
ARENAC,3,0,4,0
GLADWIN,3,0,4,0
ALLEGAN,2,0,11,0
WEXFORD,2,0,2,0
CLINTON,2,0,8,0
OCEANA,2,0,13,1
CLARE,1,0,2,0
IRON,1,0,4,0
MASON,1,0,4,0
MECOSTA,1,0,1,0
DELTA,1,0,4,0
PRESQUE ISLE,1,0,1,0
BARRY,1,0,2,0
OGEMAW,1,1,1,0
OSCODA,0,0,0,0
SANILAC,0,0,5,0
SCHOOLCRAFT,0,0,1,0
ONTONAGON,0,0,0,0
ROSCOMMON,0,0,0,0
OSCEOLA,0,0,0,0
ALCONA,0,0,4,0
MONTMORENCY,0,0,0,0
EMMET,0,0,3,0
ANTRIM,0,0,0,0
BARAGA,0,0,3,0
BENZIE,0,0,0,0
BRANCH,0,0,8,0
CHARLEVOIX,0,0,11,0
CHEBOYGAN,0,0,0,0
CHIPPEWA,0,0,0,0
HOUGHTON,0,0,11,0
MISSAUKEE,0,0,0,0
IONIA,0,0,2,0
KALKASKA,0,0,1,0
ALGER,0,0,0,0
LEELANAU,0,0,5,0
LUCE,0,0,0,0
MACKINAC,0,0,1,0
MANISTEE,0,0,0,0
LAKE,0,0,2,0
