Facility Name,Facility Name Normalized,Changed,VLOOKUP,Date Collected,State,County,City,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives.1,Resident Probable Positives.1,Resident Deaths.1,Resident Probable Deaths.1,Staff Positive.1,Staff Probable Positives.1,Staff Deaths.1,Staff Probable Deaths.1,Resident/Staff Positives.1,Resident/Staff Probable Positives.1,Resident/Staff Deaths.1,Resident/Staff Probable Deaths.1,Residents Tested,Staff Tested,Personal Protective Equipment,VLOOKUP2,Change Score,VlookupMatch
Adams County Manor,ADAMS COUNTY MANOR,,CONTINUING HEALTHCARE AT ADAMS LANE,20201104,OH,ADAMS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADAMS COUNTY MANOR,100,False
Eagle Creek,EAGLE CREEK NURSING HOME,x,EAGLE CREEK NURSING HOME,20201104,OH,ADAMS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAGLE CREEK NURSING HOME,100,True
Monarch Meadows,MONARCH MEADOWS NURSING AND REHABILITATION,,MONARCH MEADOWS NURSING AND REHABILITATION,20201104,OH,ADAMS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MONARCH MEADOWS NURSING AND REHABILITATION,100,True
Burton's Ridge Assisted Living,BURTON'S RIDGE ASSISTED LIVING,,,20201104,OH,ALLEN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WILLOW RIDGE OF MENNONITE HOME COMMUNITIES OF OHIO,86,False
CRSI - Mary Ann Brown,CRSI - MARY ANN BROWN,,,20201022,OH,ALLEN,,Intermediate Care Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARE CORE AT LIMA,48,False
CRSI-Mary Ann Brown,CRSI-MARY ANN BROWN,,,20201104,OH,ALLEN,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIMA MANOR,54,False
CareCore at Lima,CARE CORE AT LIMA,,CARE CORE AT LIMA,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARE CORE AT LIMA,100,True
Elmcroft of Lima,ELMCROFT OF LIMA,,,20201104,OH,ALLEN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIBERTY NURSING CENTERS OF LIMA,86,False
Liberty Nursing Centers of Lima,LIBERTY NURSING CENTERS OF LIMA,,LIBERTY NURSING CENTERS OF LIMA,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIBERTY NURSING CENTERS OF LIMA,100,True
Lima Convalescent Home,LIMA CONVALESCENT HOME,,LIMA CONVALESCENT HOME,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIMA CONVALESCENT HOME,100,True
Lima Manor,LIMA MANOR,,LIMA MANOR,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIMA MANOR,100,True
Lochhaven Apartments,LOCHHAVEN APARTMENTS,,,20201104,OH,ALLEN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOST CREEK HEALTH CARE AND REHABILITATION CENTER,44,False
Lost Creek,LOST CREEK,,,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOST CREEK HEALTH CARE AND REHABILITATION CENTER,90,False
Maple Crest,MAPLE CREST,,,20201104,OH,ALLEN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOST CREEK HEALTH CARE AND REHABILITATION CENTER,50,False
Mennonite Memorial Home,MENNONITE MEMORIAL HOME,,MENNONITE MEMORIAL HOME,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MENNONITE MEMORIAL HOME,100,True
Roselawn Manor,ROSELAWN MANOR,,ROSELAWN MANOR,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROSELAWN MANOR,100,True
Sarah Jane Living Center,SARAH JANE LIVING CENTER,,SARAH JANE LIVING CENTER,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SARAH JANE LIVING CENTER,100,True
Shawnee Manor,SHAWNEE MANOR,,SHAWNEE MANOR,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAWNEE MANOR,100,True
Springview Manor,SPRINGVIEW MANOR,,SPRINGVIEW MANOR,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPRINGVIEW MANOR,100,True
The Meadows of Delphos,MEADOWS OF DELPHOS,x,MEADOWS OF DELPHOS,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WILLOW RIDGE OF MENNONITE HOME COMMUNITIES OF OHIO,86,False
The Springs of Lima,SPRINGS OF LIMA,x,SPRINGS OF LIMA,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPRINGS OF LIMA,100,True
Vancrest of Delphos,VANCREST OF DELPHOS,,VANCREST OF DELPHOS,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VANCREST OF DELPHOS,100,True
Willow Ridge,WILLOW RIDGE OF MENNONITE HOME COMMUNITIES OF OHIO,,WILLOW RIDGE OF MENNONITE HOME COMMUNITIES OF OHIO,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WILLOW RIDGE OF MENNONITE HOME COMMUNITIES OF OHIO,100,True
Wyngate Senior Living Community,WYNGATE SENIOR LIVING COMMUNITY,,,20201104,OH,ALLEN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MH-LIMA SKILLED NURSING UNIT,47,False
Brethren Care Village,BRETHREN CARE VILLAGE HEALTH CARE CENTER,,BRETHREN CARE VILLAGE HEALTH CARE CENTER,20201104,OH,ASHLAND,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRETHREN CARE VILLAGE HEALTH CARE CENTER,100,True
Colonial Manor Health Care Center,COLONIAL MANOR HEALTH CARE CENTER,,COLONIAL MANOR HEALTH CARE CENTER,20201104,OH,ASHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLONIAL MANOR HEALTH CARE CENTER,100,True
Kingston of Ashland,KINGSTON OF ASHLAND,,KINGSTON OF ASHLAND,20201104,OH,ASHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KINGSTON OF ASHLAND,100,True
LSS The Good Shepherd Skilled Nursing and Rehab,GOOD SHEPHERD,x,GOOD SHEPHERD,20201104,OH,ASHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD SHEPHERD,100,True
McMullen Assisted Care,MCMULLEN ASSISTED CARE,,,20201104,OH,ASHLAND,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRYSTAL CARE CENTER OF ASHLAND,44,False
St Martin Assisted Living Martin House Apartments,ST MARTIN ASSISTED LIVING MARTIN HOUSE APARTMENTS,,,20201104,OH,ASHLAND,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRYSTAL CARE CENTER OF ASHLAND,38,False
Andover Village Skilled Nursing and Rehabilitation,ANDOVER VILLAGE SKILLED NURSING AND REHABILITATION,,ANDOVER VILLAGE SKILLED NURSING AND REHABILITATION,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANDOVER VILLAGE SKILLED NURSING AND REHABILITATION,100,True
Ashtabula County Nursing Home,ASHTABULA COUNTY NURSING HOME,,ASHTABULA COUNTY NURSING HOME,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASHTABULA COUNTY NURSING HOME,100,True
CARINGTON PARK,CARINGTON PARK,,CARINGTON PARK,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARINGTON PARK,100,True
COUNTRY CLUB RETIREMENT CAMPUS III,COUNTRY CLUB RETIREMENT CAMPUS III,,COUNTRY CLUB RETIREMENT CAMPUS III,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COUNTRY CLUB RETIREMENT CAMPUS III,100,True
Generations Behavioral Health - Geneva,GENERATIONS BEHAVIORAL HEALTH - GENEVA,,,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAE ANN GENEVA,86,False
