Provider State,Week Ending,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths
AK,2020-05-24,1.0,1.0,1.0,1.0,16.0,16.0,17.0,17.0,0.0,0.0,1.0,1.0,26.0,26.0,0.0,0.0
AK,2020-05-31,0.0,1.0,9.0,10.0,6.0,22.0,0.0,17.0,0.0,0.0,5.0,6.0,9.0,35.0,0.0,0.0
AK,2020-06-07,0.0,1.0,9.0,19.0,1.0,23.0,0.0,17.0,0.0,0.0,14.0,20.0,7.0,42.0,0.0,0.0
AK,2020-06-14,0.0,1.0,0.0,19.0,0.0,23.0,4.0,21.0,2.0,2.0,3.0,23.0,5.0,47.0,0.0,0.0
AK,2020-06-21,0.0,1.0,1.0,20.0,3.0,26.0,0.0,21.0,0.0,2.0,0.0,23.0,2.0,49.0,0.0,0.0
AK,2020-06-28,3.0,4.0,0.0,20.0,5.0,31.0,1.0,22.0,0.0,2.0,1.0,24.0,4.0,53.0,0.0,0.0
AK,2020-07-05,0.0,4.0,0.0,20.0,1.0,32.0,2.0,24.0,0.0,2.0,1.0,25.0,6.0,59.0,0.0,0.0
AK,2020-07-12,0.0,4.0,0.0,20.0,1.0,33.0,5.0,29.0,0.0,2.0,4.0,29.0,7.0,66.0,0.0,0.0
AK,2020-07-19,2.0,6.0,0.0,20.0,3.0,36.0,2.0,31.0,0.0,2.0,1.0,30.0,8.0,74.0,0.0,0.0
AK,2020-07-26,1.0,7.0,0.0,20.0,2.0,38.0,1.0,32.0,0.0,2.0,1.0,31.0,14.0,88.0,0.0,0.0
AK,2020-08-02,1.0,8.0,0.0,20.0,0.0,38.0,2.0,34.0,0.0,2.0,1.0,32.0,4.0,92.0,0.0,0.0
AK,2020-08-09,0.0,8.0,0.0,20.0,2.0,40.0,1.0,35.0,0.0,2.0,2.0,34.0,6.0,98.0,0.0,0.0
AK,2020-08-16,2.0,10.0,0.0,20.0,3.0,43.0,2.0,37.0,0.0,2.0,3.0,37.0,3.0,101.0,0.0,0.0
AK,2020-08-23,0.0,10.0,0.0,20.0,1.0,44.0,2.0,39.0,0.0,2.0,2.0,39.0,2.0,103.0,0.0,0.0
