state,State,state_name,date,data_timestamp,Data_Type,PosRes_nh,ProbPosRes_nh,DeathRes_nh,ProbDeathRes_nh,PosStaff_nh,ProbPosStaff_nh,DeathStaff_nh,ProbDeathStaff_nh,PosResStaff_nh,ProbPosResStaff_nh,DeathResStaff_nh,ProbDeathResStaff_nh,OutbrkFac_nh,PosRes_alf,ProbPosRes_alf,DeathRes_alf,ProbDeathRes_alf,PosStaff_alf,ProbPosStaff_alf,DeathStaff_alf,ProbDeathStaff_alf,PosResStaff_alf,ProbPosResStaff_alf,DeathResStaff_alf,ProbDeathResStaff_alf,OutbrkFac_alf,PosRes_ltc,ProbPosRes_ltc,DeathRes_ltc,ProbDeathRes_ltc,PosStaff_ltc,ProbPosStaff_ltc,DeathStaff_ltc,ProbDeathStaff_ltc,PosResStaff_ltc,ProbPosResStaff_ltc,DeathResStaff_ltc,ProbDeathResStaff_ltc,OutbrkFac_ltc,PosRes_other,ProbPosRes_other,DeathRes_other,ProbDeathRes_other,PosStaff_other,ProbPosStaff_other,DeathStaff_other,ProbDeathStaff_other,PosResStaff_other,ProbPosResStaff_other,DeathResStaff_other,ProbDeathResStaff_other,OutbrkFac_other,month,Region,Division,positive,death,population,pop65,totalDeathsAllLTC,totalDeathsNH,totalDeathsALF,totalDeathsLTC,totalDeathsOther,totalPosAllLTC,totalPosNH,totalPosALF,totalPosLTC,totalPosOther,totalOutbrkFacAllLTC,obs,newDeaths,newDeathsAllLTC,newDeathsNH,newDeathsALF,newDeathsLTC,newDeathsOther,newPosAllLTC,newPosNH,newPosALF,newPosLTC,newPosOther,changeOutbrkFac,max_date_ind,reports_cumDeaths,reports_outbrkDeaths,not_reportingDeaths,DeathReporting,max_outbreak_deaths,outbreak_deaths_flag,date_for_note,newDeathsAllLTC2,newPosAllLTC2,max_deaths,max_cases,max_death_date,max_case_date
AK,Alaska,Alaska,2020-05-21,,Aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,West,Pacific,404,10,737438.0,90876.0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,No,1,0,0,Cumulative,2,0,"May 21, 2020",0,0,3,51,2020-11-26,2020-11-26
AK,Alaska,Alaska,2020-05-28,,Aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,West,Pacific,427,10,737438.0,90876.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,No,1,0,0,Cumulative,2,0,"May 28, 2020",0,0,3,51,2020-11-26,2020-11-26
AK,Alaska,Alaska,2020-06-04,,Aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,West,Pacific,518,10,737438.0,90876.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,No,1,0,0,Cumulative,2,0,"June 04, 2020",0,0,3,51,2020-11-26,2020-11-26
AK,Alaska,Alaska,2020-06-11,,Aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,West,Pacific,616,11,737438.0,90876.0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,No,1,0,0,Cumulative,2,0,"June 11, 2020",0,0,3,51,2020-11-26,2020-11-26
AK,Alaska,Alaska,2020-06-18,,Aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,West,Pacific,713,12,737438.0,90876.0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,No,1,0,0,Cumulative,2,0,"June 18, 2020",0,0,3,51,2020-11-26,2020-11-26
AK,Alaska,Alaska,2020-06-25,,Aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,West,Pacific,821,12,737438.0,90876.0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,No,1,0,0,Cumulative,2,0,"June 25, 2020",0,0,3,51,2020-11-26,2020-11-26
AK,Alaska,Alaska,2020-07-02,,Aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,West,Pacific,1020,14,737438.0,90876.0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,No,1,0,0,Cumulative,2,0,"July 02, 2020",0,0,3,51,2020-11-26,2020-11-26
AK,Alaska,Alaska,2020-07-09,,Aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,West,Pacific,1273,17,737438.0,90876.0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,No,1,0,0,Cumulative,2,0,"July 09, 2020",0,0,3,51,2020-11-26,2020-11-26
AK,Alaska,Alaska,2020-07-16,,Aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,West,Pacific,1695,17,737438.0,90876.0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,No,1,0,0,Cumulative,2,0,"July 16, 2020",0,0,3,51,2020-11-26,2020-11-26
AK,Alaska,Alaska,2020-07-23,,Aggregate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,West,Pacific,2203,19,737438.0,90876.0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,No,1,0,0,Cumulative,2,0,"July 23, 2020",0,0,3,51,2020-11-26,2020-11-26
